Fund Name,Risk Profile,NAV,AUM,1M Return,6M Return,1Y Return
HBL Investment Fund-Class A,High,16.68,4.55B,0.59%,5.81%,145.34%
HBL Growth Fund-Class A,High,44.66,12.59B,-2.47%,15.83%,133.44%
UBL Financial Sector Fund,High,307.47,4.19B,4.74%,63.29%,128.1%
NBP Financial Sector Fund,High,21.51,669M,6.27%,60.86%,118.29%
MCB Pakistan Stock Market Fund,High,325.42,27.95B,6.11%,44.96%,115.34%
AL Habib Stock Fund,High,161.24,10.67B,7.01%,37.81%,114.01%
Alfalah GHP Dedicated Equity Fund,High,193.36,0,5.75%,34.54%,108.23%
UBL Stock Advantage Fund,High,253.68,26.94B,6.78%,35.59%,107.71%
UBL Pakistan Enterprise Exchange,High,35.64,161.96M,6.91%,44.02%,106.4%
NIT Pakistan Gateway Exchange,High,33,130.09M,5.24%,40.2%,106.14%
NBP Stock Fund,High,40.4,48.29B,5.94%,32.55%,105.25%
Al Ameen Shariah Stock Fund,High,476.13,25.41B,8.76%,32.32%,101.45%
Alfalah GHP Alpha Fund,High,104.03,2.94B,7.06%,33.54%,101.01%
NBP Pakistan Growth Exchange T,High,27.59,45M,5.06%,37.26%,100.5%
AL Habib Islamic Stock Fund,High,177.17,8.48B,8.24%,28.88%,98.45%
AKD Opportunity Fund,High,210.9,843.28M,9.08%,46.28%,90.66%
Golden Arrow Stock Fund,High,36.18,3.61B,6.93%,39.93%,95.69%
JS Growth Fund,High,504.75,4.2B,11.18%,36.57%,94.98%
JS Large Cap Fund,High,409.53,2.63B,9.41%,35.56%,98.04%
Lakson Equity Fund,High,308.04,5.94B,9.47%,35.37%,95.9%
AKD Index Tracker Fund,High,37.96,1.6B,5.94%,33.29%,91.79%
Alhamra Islamic Stock Fund,High,28.8,10.28B,6.71%,32.15%,91.27%
Atlas Stock Market Fund,High,1980.63,38.79B,6.61%,31.83%,98.15%
Al Meezan Mutual Fund,High,48.06,17.64B,8.65%,31.48%,96.1%
Meezan Dedicated Equity Fund,High,91.28,0,8.31%,31.4%,94.89%
Alfalah Consumer Index Exchange,High,18.86,30.28M,13.07%,30.13%,98.08%
Meezan Pakistan ETF,High,19.57,451M,12.36%,26.79%,68.09%
HBL Total Treasury Exchange Tr,High,105.32,64M,10%,11.21%,14.82%
JS Momentum Factor Exchange Tr,High,12.1,851.95M,9.83%,23.42%,83.4%
AWT Islamic Stock Fund,High,183.47,2.43B,9.42%,27.49%,88.93%
KSE Meezan Index Fund,High,172.58,5.5B,9.4%,28.89%,80.2%
AWT Stock Fund,High,176.66,414.3M,8.96%,27.28%,91.01%
Atlas Islamic Dedicated Stock,High,1589.25,226M,8.82%,29.32%,89.5%
Atlas Islamic Stock Fund,High,1555.51,12.68B,8.77%,29.58%,91.71%
AKD Islamic Stock Fund,High,106.47,435.23M,8.73%,29.21%,86.8%
JS Islamic Fund,High,261.23,641.07M,8.71%,23.24%,85.56%
Mahaana Islamic Index Exchange,High,16.4,445.36M,8.54%,28.2%,71.16%
Meezan Islamic Fund,High,156.12,53.55B,8.53%,29.91%,89.11%
Alfalah GHP Islamic Stock Fund,High,68.83,5.71B,8.4%,21.68%,77.63%
Faysal Islamic Stock Fund,High,116.82,1.2B,8.2%,22.65%,79.67%
NIT Islamic Equity Fund,High,18.76,4.14B,8.19%,24.1%,71.19%
Lucky Islamic Stock Fund,High,127.75,6.52B,8.07%,0%,0%
HBL Islamic Equity Fund,High,190.2,1.07B,8.04%,19.62%,66.98%
HBL Equity Fund,High,225.58,1.32B,7.92%,20.06%,72.05%
Alfalah Stock Fund - II (Former),High,74.16,141.05M,7.82%,27.42%,94.28%

